propid,zip,appraisal_2017,appraisal_2016,appraisal_2015,appraisal_2014,appraisal_2013
1.65122E+13,78746,579607,598744,509267,476942,357868
5.08155E+12,78746,777676,731854,726775,660587,566932
1.6629E+13,78746,699230,661813,619238,574835,457922
5.08092E+12,78746,682879,660164,581210,571344,464083
1.66698E+13,78746,649333,621012,550402,437991,381829
1.66698E+13,78746,987531,924850,948413,857872,736659
1.6629E+13,78746,580597,579428,522098,467500,389858
3.76334E+11,78746,690845,649826,584000,561260,457503
3.38351E+12,78746,736059,700321,644550,592928,484581
5.08156E+12,78746,589979,561370,530684,508109,430144
1.45801E+13,78746,883299,816928,816000,731397,678611
1.66698E+13,78746,665722,631933,662554,604591,482399
1.66698E+13,78746,1124766,596731,526108,486902,392575
1.66698E+13,78746,663264,622375,558500,532988,441123
82497148453,78746,623392,597242,534601,491746,411687
5.06355E+12,78746,653573,624798,544526,502961,456528
82497648453,78746,966000,958110,1067302,882833,789712
1.6629E+13,78746,784867,742024,703172,641288,503100
1.65122E+13,78746,665800,624958,620403,571254,458085
3.4257E+12,78746,674421,656077,643000,599250,492354
1.40029E+12,78746,650000,593538,545353,539517,454341
3.55949E+12,78746,598492,548768,497358,427000,381361
1.6629E+13,78746,789169,745866,719371,656821,508638
2.49049E+12,78746,793703,717059,693569,632979,543291
2.04581E+13,78746,551156,532000,507430,484780,413762
1.65122E+13,78746,619815,592594,526995,487675,397243
5.03152E+11,78746,694480,661321,521240,482657,406924
1.66698E+13,78746,856269,810904,816541,751720,625000
1.6629E+13,78746,736587,698917,644834,590422,479140
1.65122E+13,78746,755334,713343,713000,653737,521371
3.14656E+11,78746,649062,620770,539075,516756,424204
1.65122E+13,78746,686816,650729,606987,554860,464901
5.08879E+12,78746,624736,599050,509681,472579,385800
1.40029E+12,78746,820658,773985,746426,679002,544356
3.41201E+12,78746,941100,938298,950000,768021,794113
1.6629E+13,78746,804573,765244,693547,636738,549705
8.53478E+11,78746,559554,547017,535000,475692,416810
1.65122E+13,78746,599734,572977,511762,473112,401549
4.7716E+12,78746,665489,643097,616658,611967,483531
1.6629E+13,78746,601212,553383,503859,436000,383105
1.6629E+13,78746,764992,710000,703431,664599,578366
1.6629E+13,78746,759532,715652,724849,661469,336296
1.66698E+13,78746,758225,718378,681887,624501,536901
82497448453,78746,816326,766363,729907,661172,365627
2.77347E+12,78746,671717,646691,554288,508911,408826
2.77347E+12,78746,1144043,1140706,1194225,1082700,913521
4.78163E+12,78746,626903,616016,555243,473929,402972
3.40968E+12,78746,1062361,1054252,1040095,895279,815992
1.6629E+13,78746,1041300,1092073,967002,874473,828184
1.6629E+13,78746,603986,571015,513201,467318,405720
3.37369E+12,78746,886540,788824,587427,541777,459821
1.6629E+13,78746,906660,847018,837231,711751,640323
2.77347E+12,78746,1638960,800001,656250,656250,437500
1.652E+13,78746,1773354,1882242,1585466,1480945,1386404
5.43344E+12,78746,1125229,1118411,1011978,931540,656177
1.64849E+13,78746,634966,608184,522042,483357,412465
2.77347E+12,78746,1132290,1150488,944707,900000,841539
4.76257E+12,78746,551000,594953,531503,489045,391331
1.652E+13,78746,1059021,1059021,819773,756520,615554
5.03152E+11,78746,671120,636715,588020,538323,447501
1.64849E+13,78746,732618,690656,583053,535273,426458
5.0591E+12,78746,630000,637028,588445,538693,426478
1.6629E+13,78746,774917,731265,723295,660243,533411
3.39215E+12,78746,644609,616794,522694,482516,390989
5.03152E+11,78746,679097,645332,609683,554391,445195
4.76787E+12,78746,627072,609166,550727,518910,385184
1.65122E+13,78746,649130,620830,539157,498279,400872
3.39131E+12,78746,568000,629277,550588,508246,412239
3.55367E+12,78746,608000,627930,548765,498321,407263
1.40029E+12,78746,658567,625507,572852,525098,413047
3.37947E+12,78746,1125625,1137722,967797,888677,663093
1.6629E+13,78746,1337333,1304758,1020000,900390,830095
3.5601E+12,78746,877724,893201,880000,760798,728383
1.6629E+13,78746,935210,765864,705097,681569,630460
1.64849E+13,78746,566907,532659,481390,428100,385546
1.6629E+13,78746,626938,601017,523342,485899,398397
82498348453,78746,537500,611187,526106,540280,410371
1.6629E+13,78746,951418,980038,842000,809734,646589
3.56069E+12,78746,965173,964870,987607,927826,854491
1.652E+13,78746,1172422,1233718,983755,900000,710623
3.56014E+12,78746,910312,907688,949249,860780,724837
3.54529E+12,78746,785399,733706,729282,662773,527741
1.6629E+13,78746,875500,875500,812485,750347,510000
1.652E+13,78746,1522000,1575577,1335870,1130990,1105350
1.6629E+13,78746,1242476,1251376,1103578,1102186,952590
1.48125E+13,78746,1272585,1272585,1104651,969611,845259
3.55946E+12,78746,985363,989199,1008971,924801,853929
4.76029E+12,78746,687981,651675,598451,546009,432701
4.78201E+12,78746,749596,744212,743500,675170,576211
1.64849E+13,78746,726937,686551,629221,503422,411472
1.6629E+13,78746,884598,903742,759786,709431,587462
8.53478E+11,78746,805541,685140,596771,563165,452254
4.17388E+12,78746,640959,627199,590723,543731,456207
1.6629E+13,78746,1284964,1284964,1044528,900000,817969
2.49049E+12,78746,888157,885609,886301,835428,731578
1.652E+13,78746,999000,1001201,835000,811900,732209
1.6629E+13,78746,668526,630575,577725,551676,509853
3.40697E+12,78746,998656,996121,1001392,853998,686185
3.14708E+11,78746,821709,811874,788000,703250,643760
1.64849E+13,78746,585324,574355,520879,490390,414346
1.66698E+13,78746,810410,764830,745037,679199,554069
1.6629E+13,78746,666178,636052,527000,483414,414324
1.652E+13,78746,987273,1019640,884000,854224,740892
1.66698E+13,78746,679024,649860,616543,607769,494165
1.49371E+13,78746,816017,769837,762813,696108,577901
4.78101E+12,78746,1600857,1639884,1381598,1260552,1187908
1.66698E+13,78746,815902,769875,762579,696267,594528
4.45828E+12,78746,1249286,1249286,1148971,1079954,893261
5.0695E+12,78746,1184531,1192685,1006083,926394,777065
1.6629E+13,78746,914000,1006753,819184,752960,632203
5.05861E+12,78746,998144,1014268,939199,849395,632902
1.652E+13,78746,948596,1034813,777566,768387,630191
1.6629E+13,78746,659403,630001,562568,481086,406502
4.78103E+12,78746,1231129,1258057,1041095,964187,830602
1.67015E+13,78746,898269,843276,862200,714330,620257
1.67015E+13,78746,736506,698845,666737,617272,534085
1.6629E+13,78746,643822,523654,427758,385955,341649
1.652E+13,78746,969843,969843,774337,710529,573719
1.67015E+13,78746,735593,737339,654740,636024,558182
1.46106E+13,78746,1428534,1506874,1216359,1087264,980330
2.91193E+12,78746,767365,726397,645777,594001,545539
1.66698E+13,78746,825622,783328,794383,729437,489079
1.6629E+13,78746,757308,705825,650806,646316,520505
3.46264E+12,78746,1137500,1013926,906200,865879,722036
1.66698E+13,78746,817966,771718,765074,698442,575797
1.6629E+13,78746,994530,994530,781058,716432,579385
82496948453,78746,963362,1028008,915658,847823,730000
1.652E+13,78746,1206778,1206778,1019559,936571,854060
1.652E+13,78746,1702814,1714860,1416650,1295776,1191786
1.66289E+13,78746,1302496,1315875,1185958,1192063,815365
1.652E+13,78746,1207827,1207827,962858,877604,785403
1.6629E+13,78746,1156272,1179476,1097529,1000475,826996
1.6629E+13,78746,1124487,1124487,885511,808173,686624
1.67015E+13,78746,814623,768592,761128,694639,571367
5.03152E+11,78746,721212,681209,663245,634159,570047
5.46042E+12,78746,907756,907756,781096,755027,586651
