,propid,zip,appraisal_2017,appraisal_2016,appraisal_2015,appraisal_2014,appraisal_2013
174,82750448453.0,78702,581910,525981,278800,351167,243349
175,16632600000000.0,78702,333295,248777,242930,206352,150639
176,16602200000000.0,78702,445354,347735,330651,285861,202606
177,16632600000000.0,78702,349847,271145,261422,223113,158427
178,16757100000000.0,78702,34375,212500,212500,175313,151250
179,16632600000000.0,78702,493892,415946,363278,315434,150405
180,16632600000000.0,78702,390595,326210,311195,268227,192980
181,16602200000000.0,78702,1076030,839577,510292,492063,430731
182,15369300000000.0,78702,433139,413702,393154,340071,261959
183,16632600000000.0,78702,487025,413516,392987,339920,216510
184,16602200000000.0,78702,436383,388085,299976,258058,169496
185,16632600000000.0,78702,283127,236726,231772,196239,91931
186,16678700000000.0,78702,404079,374432,359201,309297,220973
187,15023300000000.0,78702,278641,286168,278342,256895,134716
188,16632600000000.0,78702,405201,375947,359034,309146,206053
189,15369300000000.0,78702,397522,365570,349650,300641,241982
190,4773840000000.0,78702,262566,240915,206959,156163,138634
191,14690800000000.0,78702,562180,538586,407420,402664,332201
192,5060110000000.0,78702,360674,285776,277181,237397,172069
193,3371310000000.0,78702,275000,379403,375627,324185,208768
194,15323900000000.0,78702,444732,367973,351822,302609,162000
195,3414660000000.0,78702,830357,558620,418365,342496,174671
196,16678700000000.0,78702,389235,354371,414895,375634,265052
197,14690800000000.0,78702,390633,335729,309097,236817,175607
198,3564490000000.0,78702,485412,484340,455990,398908,309634
199,3421920000000.0,78702,306833,323865,294501,261832,224584
200,16632600000000.0,78702,450666,413633,328259,292896,222776
201,16632600000000.0,78702,366389,293498,281623,242345,171401
202,3375590000000.0,78702,543600,461625,407465,385328,254340
203,16678800000000.0,78702,339824,287600,281096,238504,152593
204,16678800000000.0,78702,360850,316013,304857,260041,167808
205,14417400000000.0,78702,419492,362351,334657,287051,165215
206,16678700000000.0,78702,491375,495719,389394,349434,237050
207,16515400000000.0,78702,454833,407431,422261,366453,286219
208,3373030000000.0,78702,364388,324592,319993,246995,227524
209,3413270000000.0,78702,341443,344509,320000,266603,194887
210,16632600000000.0,78702,258689,255188,248864,211731,96847
211,16678700000000.0,78702,429506,391630,375131,322108,262308
212,16632600000000.0,78702,541638,496751,463280,437819,276629
213,5248090000000.0,78702,389221,357170,336164,297945,180756
214,2777280000000.0,78702,415000,341402,322163,278168,162140
215,4167210000000.0,78702,444821,429488,367702,324758,226679
216,16632600000000.0,78702,686201,720000,435025,395295,82500
217,16632600000000.0,78702,403507,314390,253496,215929,155544
218,16678700000000.0,78702,366486,323630,311745,266284,172520
219,3409020000000.0,78702,527061,478457,458274,394189,301222
220,16678700000000.0,78702,804779,805519,289101,254264,154827
221,14772600000000.0,78702,421855,365006,346492,291526,168900
222,16632600000000.0,78702,366821,324083,312154,266654,191707
223,3423010000000.0,78702,395715,418715,346669,304721,207303
224,4457200000000.0,78702,310797,274118,264110,225550,127467
225,3562940000000.0,78702,318430,274058,265095,244914,173582
226,16678700000000.0,78702,405443,376274,359328,309412,210108
227,16678700000000.0,78702,529000,348240,315166,269385,150099
228,4784320000000.0,78702,676407,748979,551825,508044,354454
229,3420810000000.0,78702,439782,401957,351700,307136,201727
230,2490370000000.0,78702,506494,517180,537207,500909,374915
231,16678700000000.0,78702,661249,731849,540783,495611,340011
232,5084670000000.0,78702,368331,326123,313996,268324,177350
233,16632600000000.0,78702,580687,651713,524229,473871,346292
234,4164120000000.0,78702,476927,472874,446637,388548,280345
235,16632600000000.0,78702,456876,445778,350856,308710,207025
236,1159070000000.0,78702,730754,737387,639962,589134,281000
237,1298140000000.0,78702,397562,335624,319700,275935,169779
238,16632600000000.0,78702,396416,364076,349946,300909,219736
239,2586830000000.0,78702,311038,318463,317473,265643,172479
240,15180700000000.0,78702,426059,386447,366109,319234,170312
241,16678800000000.0,78702,412600,385946,368067,317333,182821
242,16632600000000.0,78702,320404,302015,292205,248573,164698
243,733694000000.0,78702,496671,499556,470760,382828,260579
244,16632600000000.0,78702,306977,268955,261608,223282,112114
245,4770970000000.0,78702,377759,308864,295511,254011,205460
246,16632600000000.0,78702,306965,265838,260950,220244,144167
247,16632600000000.0,78702,423316,400427,346467,257995,210840
248,733695000000.0,78702,421744,428813,403134,349117,273238
249,16678700000000.0,78702,390360,355892,340904,292713,190262
250,2777280000000.0,78702,275000,200750,200475,165453,110435
251,16678800000000.0,78702,342546,317021,302885,260695,158697
252,16678800000000.0,78702,358599,312971,304185,259431,169088
253,16632600000000.0,78702,478382,457678,434823,376212,292437
254,16678800000000.0,78702,275002,370730,352080,295912,194379
255,16678800000000.0,78702,457462,446570,422860,345081,239403
256,5248090000000.0,78702,346515,296642,277094,215321,157176
257,2980320000000.0,78702,658570,711838,539196,455838,372348
258,3558450000000.0,78702,394891,366332,333680,235000,150277
259,1159070000000.0,78702,471068,170000,170000,232183,148943
260,82750548453.0,78702,394685,371546,300800,266356,193531
261,14819100000000.0,78702,371248,330065,320409,274137,167979
262,16707200000000.0,78702,308647,290474,271888,198986,167571
263,16678700000000.0,78702,351634,273560,263598,225086,154410
264,5248090000000.0,78702,306944,283139,240000,212755,137093
265,16632600000000.0,78702,316405,281696,273405,233974,121586
266,526069000000.0,78702,1085347,255089,309176,263956,172307
267,733695000000.0,78702,357715,311777,301031,256573,164313
268,3566770000000.0,78702,415124,389357,371151,320128,192693
269,3559500000000.0,78702,432851,413312,392799,339749,234246
270,5248090000000.0,78702,372318,355424,340478,292327,191107
271,16632600000000.0,78702,400943,370193,353833,304432,196708
272,16515400000000.0,78702,439642,399725,319166,280727,205038
273,16632600000000.0,78702,410955,353723,322001,290762,171416
274,2777280000000.0,78702,578590,477014,398835,354417,240864
275,2777280000000.0,78702,474922,473381,377217,335763,234494
276,821419000000.0,78702,540762,544381,450664,259642,187827
277,16632600000000.0,78702,398849,367364,342577,294229,187783
278,4762400000000.0,78702,697971,701240,533281,467732,207974
279,3565030000000.0,78702,949674,740221,635931,165000,110000
280,16602200000000.0,78702,390851,310982,300312,255921,152851
281,5068220000000.0,78702,358825,313277,302385,257800,165377
282,16602200000000.0,78702,432303,364118,348339,299452,195555
283,3549340000000.0,78702,346178,319351,303604,258905,169309
284,15433700000000.0,78702,759234,415933,300077,261486,191339
285,4467240000000.0,78702,414500,388514,370389,319438,208157
286,16632700000000.0,78702,434769,415904,395146,341877,215084
287,16678800000000.0,78702,404450,374933,361946,311785,203404
288,16678700000000.0,78702,501611,506231,476788,415876,289128
289,1159070000000.0,78702,293051,325655,308862,269464,201969
290,16632600000000.0,78702,349366,305650,296620,257573,184604
291,5248090000000.0,78702,253162,244478,249557,212359,123182
292,16678800000000.0,78702,340093,287963,281432,238809,145612
293,16515400000000.0,78702,584099,622679,473997,429016,294618
294,4156480000000.0,78702,424956,326894,314694,268957,191395
295,3457140000000.0,78702,263093,235345,210076,194463,173087
296,16515400000000.0,78702,433350,413987,393414,340308,250424
297,16678700000000.0,78702,390740,356405,341367,293132,197086
298,4176810000000.0,78702,227191,198299,192168,160342,45182
299,4163850000000.0,78702,394445,337784,289522,252441,198050
300,15001500000000.0,78702,412214,358283,310662,265457,171803
301,16515400000000.0,78702,328475,272264,266900,225637,138037
302,16678800000000.0,78702,453080,440648,417509,362146,259340
303,3423280000000.0,78702,378690,340121,329718,282574,177843
304,16678800000000.0,78702,612619,319211,307748,262661,192871
305,16632600000000.0,78702,424575,402128,382694,330590,256238
306,14697600000000.0,78702,397762,406460,359436,334141,195646
307,15435600000000.0,78702,401282,370652,354245,304805,202872
308,16707200000000.0,78702,331284,276059,270413,228821,146459
309,171741000000.0,78702,318571,297953,288534,245246,157617
310,16678800000000.0,78702,541095,502169,393388,328873,322052
