propid,zip,appraisal_2017,appraisal_2016,appraisal_2015,appraisal_2014,appraisal_2013
1.66787E+13,78702,159438,140182,106999,108037,116478
3.55365E+12,78702,346309,296363,287098,243944,159370
1.65154E+13,78702,410840,383567,365924,315391,205415
3.38877E+12,78702,497661,474234,420261,365159,254153
1.15907E+12,78702,402921,399458,377077,303000,202601
1.5275E+13,78702,751400,743157,725364,668100,563763
1.65154E+13,78702,330000,330000,330000,309861,214279
1.66326E+13,78702,393984,343627,331740,282779,228832
82750448453,78702,581910,525981,278800,351167,243349
1.66326E+13,78702,333295,248777,242930,206352,150639
1.66022E+13,78702,445354,347735,330651,285861,202606
1.66326E+13,78702,349847,271145,261422,223113,158427
1.67571E+13,78702,34375,212500,212500,175313,151250
1.66326E+13,78702,493892,415946,363278,315434,150405
1.66326E+13,78702,390595,326210,311195,268227,192980
1.66022E+13,78702,1076030,839577,510292,492063,430731
1.53693E+13,78702,433139,413702,393154,340071,261959
1.66326E+13,78702,487025,413516,392987,339920,216510
1.66022E+13,78702,436383,388085,299976,258058,169496
1.66326E+13,78702,283127,236726,231772,196239,91931
1.66787E+13,78702,404079,374432,359201,309297,220973
1.50233E+13,78702,278641,286168,278342,256895,134716
1.66326E+13,78702,405201,375947,359034,309146,206053
1.53693E+13,78702,397522,365570,349650,300641,241982
4.77384E+12,78702,262566,240915,206959,156163,138634
1.46908E+13,78702,562180,538586,407420,402664,332201
5.06011E+12,78702,360674,285776,277181,237397,172069
3.37131E+12,78702,275000,379403,375627,324185,208768
1.53239E+13,78702,444732,367973,351822,302609,162000
3.41466E+12,78702,830357,558620,418365,342496,174671
1.66787E+13,78702,389235,354371,414895,375634,265052
1.46908E+13,78702,390633,335729,309097,236817,175607
3.56449E+12,78702,485412,484340,455990,398908,309634
3.42192E+12,78702,306833,323865,294501,261832,224584
1.66326E+13,78702,450666,413633,328259,292896,222776
1.66326E+13,78702,366389,293498,281623,242345,171401
3.37559E+12,78702,543600,461625,407465,385328,254340
1.66788E+13,78702,339824,287600,281096,238504,152593
1.66788E+13,78702,360850,316013,304857,260041,167808
1.44174E+13,78702,419492,362351,334657,287051,165215
1.66787E+13,78702,491375,495719,389394,349434,237050
1.65154E+13,78702,454833,407431,422261,366453,286219
3.37303E+12,78702,364388,324592,319993,246995,227524
3.41327E+12,78702,341443,344509,320000,266603,194887
1.66326E+13,78702,258689,255188,248864,211731,96847
1.66787E+13,78702,429506,391630,375131,322108,262308
1.66326E+13,78702,541638,496751,463280,437819,276629
5.24809E+12,78702,389221,357170,336164,297945,180756
2.77728E+12,78702,415000,341402,322163,278168,162140
4.16721E+12,78702,444821,429488,367702,324758,226679
1.66326E+13,78702,686201,720000,435025,395295,82500
1.66326E+13,78702,403507,314390,253496,215929,155544
1.66787E+13,78702,366486,323630,311745,266284,172520
3.40902E+12,78702,527061,478457,458274,394189,301222
1.66787E+13,78702,804779,805519,289101,254264,154827
1.47726E+13,78702,421855,365006,346492,291526,168900
1.66326E+13,78702,366821,324083,312154,266654,191707
3.42301E+12,78702,395715,418715,346669,304721,207303
4.4572E+12,78702,310797,274118,264110,225550,127467
3.56294E+12,78702,318430,274058,265095,244914,173582
1.66787E+13,78702,405443,376274,359328,309412,210108
1.66787E+13,78702,529000,348240,315166,269385,150099
4.78432E+12,78702,676407,748979,551825,508044,354454
3.42081E+12,78702,439782,401957,351700,307136,201727
2.49037E+12,78702,506494,517180,537207,500909,374915
1.66787E+13,78702,661249,731849,540783,495611,340011
5.08467E+12,78702,368331,326123,313996,268324,177350
1.66326E+13,78702,580687,651713,524229,473871,346292
4.16412E+12,78702,476927,472874,446637,388548,280345
1.66326E+13,78702,456876,445778,350856,308710,207025
1.15907E+12,78702,730754,737387,639962,589134,281000
1.29814E+12,78702,397562,335624,319700,275935,169779
1.66326E+13,78702,396416,364076,349946,300909,219736
2.58683E+12,78702,311038,318463,317473,265643,172479
1.51807E+13,78702,426059,386447,366109,319234,170312
1.66788E+13,78702,412600,385946,368067,317333,182821
1.66326E+13,78702,320404,302015,292205,248573,164698
7.33694E+11,78702,496671,499556,470760,382828,260579
1.66326E+13,78702,306977,268955,261608,223282,112114
4.77097E+12,78702,377759,308864,295511,254011,205460
1.66326E+13,78702,306965,265838,260950,220244,144167
1.66326E+13,78702,423316,400427,346467,257995,210840
7.33695E+11,78702,421744,428813,403134,349117,273238
1.66787E+13,78702,390360,355892,340904,292713,190262
2.77728E+12,78702,275000,200750,200475,165453,110435
1.66788E+13,78702,342546,317021,302885,260695,158697
1.66788E+13,78702,358599,312971,304185,259431,169088
1.66326E+13,78702,478382,457678,434823,376212,292437
1.66788E+13,78702,275002,370730,352080,295912,194379
1.66788E+13,78702,457462,446570,422860,345081,239403
5.24809E+12,78702,346515,296642,277094,215321,157176
2.98032E+12,78702,658570,711838,539196,455838,372348
3.55845E+12,78702,394891,366332,333680,235000,150277
1.15907E+12,78702,471068,170000,170000,232183,148943
82750548453,78702,394685,371546,300800,266356,193531
1.48191E+13,78702,371248,330065,320409,274137,167979
1.67072E+13,78702,308647,290474,271888,198986,167571
1.66787E+13,78702,351634,273560,263598,225086,154410
5.24809E+12,78702,306944,283139,240000,212755,137093
1.66326E+13,78702,316405,281696,273405,233974,121586
5.26069E+11,78702,1085347,255089,309176,263956,172307
7.33695E+11,78702,357715,311777,301031,256573,164313
3.56677E+12,78702,415124,389357,371151,320128,192693
3.5595E+12,78702,432851,413312,392799,339749,234246
5.24809E+12,78702,372318,355424,340478,292327,191107
1.66326E+13,78702,400943,370193,353833,304432,196708
1.65154E+13,78702,439642,399725,319166,280727,205038
1.66326E+13,78702,410955,353723,322001,290762,171416
2.77728E+12,78702,578590,477014,398835,354417,240864
2.77728E+12,78702,474922,473381,377217,335763,234494
8.21419E+11,78702,540762,544381,450664,259642,187827
1.66326E+13,78702,398849,367364,342577,294229,187783
4.7624E+12,78702,697971,701240,533281,467732,207974
3.56503E+12,78702,949674,740221,635931,165000,110000
1.66022E+13,78702,390851,310982,300312,255921,152851
5.06822E+12,78702,358825,313277,302385,257800,165377
1.66022E+13,78702,432303,364118,348339,299452,195555
3.54934E+12,78702,346178,319351,303604,258905,169309
1.54337E+13,78702,759234,415933,300077,261486,191339
4.46724E+12,78702,414500,388514,370389,319438,208157
1.66327E+13,78702,434769,415904,395146,341877,215084
1.66788E+13,78702,404450,374933,361946,311785,203404
1.66787E+13,78702,501611,506231,476788,415876,289128
1.15907E+12,78702,293051,325655,308862,269464,201969
1.66326E+13,78702,349366,305650,296620,257573,184604
5.24809E+12,78702,253162,244478,249557,212359,123182
1.66788E+13,78702,340093,287963,281432,238809,145612
1.65154E+13,78702,584099,622679,473997,429016,294618
4.15648E+12,78702,424956,326894,314694,268957,191395
3.45714E+12,78702,263093,235345,210076,194463,173087
1.65154E+13,78702,433350,413987,393414,340308,250424
1.66787E+13,78702,390740,356405,341367,293132,197086
4.17681E+12,78702,227191,198299,192168,160342,45182
4.16385E+12,78702,394445,337784,289522,252441,198050
1.50015E+13,78702,412214,358283,310662,265457,171803
1.65154E+13,78702,328475,272264,266900,225637,138037
1.66788E+13,78702,453080,440648,417509,362146,259340
3.42328E+12,78702,378690,340121,329718,282574,177843
1.66788E+13,78702,612619,319211,307748,262661,192871
1.66326E+13,78702,424575,402128,382694,330590,256238
1.46976E+13,78702,397762,406460,359436,334141,195646
1.54356E+13,78702,401282,370652,354245,304805,202872
1.67072E+13,78702,331284,276059,270413,228821,146459
1.71741E+11,78702,318571,297953,288534,245246,157617
1.66788E+13,78702,541095,502169,393388,328873,322052
1.66326E+13,78702,382446,345197,331236,283950,186032
1.7174E+11,78702,337469,284417,278149,235833,150401
1.65154E+13,78702,403294,373370,356700,307031,192324
1.66788E+13,78702,437005,422032,400411,345160,238301
1.65154E+13,78702,412034,385181,367377,316707,200151
1.66787E+13,78702,275002,359153,347385,306632,191771
1.67072E+13,78702,402404,372167,355615,306046,227295
4.44125E+12,78702,428329,429068,394720,352662,230749
1.65154E+13,78702,339209,256769,248427,211334,107421
4.1716E+12,78702,363850,333496,295000,295000,255504
1.58499E+13,78702,323851,266015,251712,211871,137147
2.77729E+12,78702,693125,674747,503808,364555,162954
1.65154E+13,78702,406131,377204,360077,310091,200023
1.65154E+13,78702,335020,281108,273308,231445,137590
1.43386E+13,78702,399094,387731,366662,316060,209753
1.50597E+13,78702,422181,392675,374149,322846,199092
1.65154E+13,78702,225927,227960,223658,189089,65882
1.44176E+13,78702,349795,334210,310282,284044,214341
1.66787E+13,78702,508051,424226,348257,234462,165966
1.50595E+13,78702,576547,599822,520988,452356,337393
5.2607E+11,78702,402941,372893,356268,306639,223354
3.37444E+12,78702,503050,508175,451738,463368,300198
8.75903E+11,78702,326784,312530,298287,265481,233288
1.66788E+13,78702,367685,325250,313207,267608,164447
1.66326E+13,78702,363951,345767,325282,331227,222940
5.32693E+12,78702,387558,352106,337480,289609,174150
82751248453,78702,356490,280121,269532,230464,131142
5.32693E+12,78702,655000,902615,593200,330000,199466
1.67072E+13,78702,465593,473243,383234,339555,225734
5.32693E+12,78702,437480,369524,353225,303880,187583
4.76425E+12,78702,476687,472550,446343,388282,254679
1.67072E+13,78702,306479,268283,260983,222715,162275
3.54811E+12,78702,363664,343273,320870,326760,243087
2.17386E+12,78702,362601,339905,326454,279615,199763
4.44621E+12,78702,370720,329351,316913,270968,192024
1.66788E+13,78702,394387,361334,345822,297171,197957
1.66787E+13,78702,411053,383855,366176,315619,191428
5.42345E+12,78702,363809,321856,314294,266966,206312
1.66787E+13,78702,367021,324353,312398,266876,168839
4.77805E+12,78702,355820,341103,316776,320519,237115
1.66787E+13,78702,451702,382470,357500,263104,182811
5.06705E+12,78702,414585,390152,351892,316149,199043
1.66326E+13,78702,327761,302348,294747,250877,179055
1.66327E+13,78702,302155,262439,253545,215974,101392
1.46122E+13,78702,324071,255131,252125,195661,155338
4.78356E+12,78702,344453,263855,254830,217139,133072
1.67499E+13,78702,656614,721553,534028,490277,362143
1.66326E+13,78702,330612,306973,286217,290797,228201
1.46092E+13,78702,678595,590696,486600,466407,137556
3.40644E+12,78702,376323,336923,323758,277172,184525
3.38488E+12,78702,460044,450059,426018,369859,229359
1.66327E+13,78702,462432,459245,366077,325009,229113
82750148453,78702,365844,350027,329290,333201,221497
1.66787E+13,78702,229638,202817,165791,134886,100459
3.46137E+12,78702,356700,334839,331706,253661,162780
1.15903E+12,78702,431219,614963,563622,637169,459317
4.17506E+12,78702,362858,346662,326036,329873,243475
1.66326E+13,78702,390664,356303,341273,293047,189681
1.66327E+13,78702,283853,237707,232682,197063,87054
2.77728E+12,78702,363860,320081,308535,263374,182755
3.40514E+12,78702,398266,366575,316053,268528,203991
1.66326E+13,78702,363655,343263,320859,326749,243077
1.66326E+13,78702,370895,326499,308003,314227,238684
1.66326E+13,78702,373157,332645,322797,276301,177138
2.77728E+12,78702,468575,399103,397705,294657,189970
1.66787E+13,78702,261314,234613,216255,232391,153525
3.5592E+12,78702,756093,588000,588000,497151,337974
1.66326E+13,78702,383494,346613,332519,285113,185051
1.52728E+13,78702,455157,446225,357694,318566,221337
3.54818E+12,78702,409079,320651,278133,238560,147774
1.66327E+13,78702,387323,351788,337191,289347,186592
5.32693E+12,78702,497926,383681,370046,319127,210984
1.66326E+13,78702,369300,304963,285879,280321,225951
4.19293E+12,78702,485287,408704,368343,299765,181700
4.16023E+12,78702,406200,377297,360251,310249,244010
1.66326E+13,78702,417543,299315,286880,246188,176042
